Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
Gaucho Transfer Friday,5/5/2017,7:30:00 AM,5/5/2017,2:00:00 PM,FALSE,FALSE,5/5/2017,7:15:00 AM,Melissa Chavez,Adms Staff;Andy Chau;Julio Zamarripa;Shyanne Coronado,Nadya Chavies;Mike Miller;Jennifer Uter;Chelsea Boone;Anne Johnson;Aaron Rivera;Samuel Reid;Antoinette Carter;Lisa Przekop;Nicole Wong;Thongkham Erickson;Thomas Knight;Adra Bowman;Courtney Good;Refugia Acosta;Donna Coyne;Marisa C Flores;Khadijah Clark;Susan Harris,,,,"Save the Date!
",Corwin ,,Normal,FALSE,Normal,1
Gaucho Transfer Friday,5/12/2017,7:30:00 AM,5/12/2017,2:00:00 PM,FALSE,TRUE,5/12/2017,7:15:00 AM,Melissa Chavez,Adms Staff;Andy Chau;Julio Zamarripa;Shyanne Coronado,Nadya Chavies;Mike Miller;Jennifer Uter;Chelsea Boone;Anne Johnson;Aaron Rivera;Samuel Reid;Antoinette Carter;Lisa Przekop;Nicole Wong;Thongkham Erickson;Thomas Knight;Adra Bowman;Courtney Good;Refugia Acosta;Donna Coyne;Marisa C Flores;Khadijah Clark;Susan Harris,,,,"Save the Date!
",Corwin ,,Normal,FALSE,Normal,1
Gaucho Transfer Friday,5/19/2017,7:30:00 AM,5/19/2017,2:00:00 PM,FALSE,TRUE,5/19/2017,7:15:00 AM,Melissa Chavez,Adms Staff;Andy Chau;Julio Zamarripa;Shyanne Coronado,Nadya Chavies;Mike Miller;Jennifer Uter;Chelsea Boone;Anne Johnson;Aaron Rivera;Samuel Reid;Antoinette Carter;Lisa Przekop;Nicole Wong;Thongkham Erickson;Thomas Knight;Adra Bowman;Courtney Good;Refugia Acosta;Donna Coyne;Marisa C Flores;Khadijah Clark;Susan Harris,,,,"Save the Date!
",Corwin ,,Normal,FALSE,Normal,1
Standing Ann/Diana,3/1/2017,1:30:00 PM,3/1/2017,2:00:00 PM,FALSE,TRUE,3/1/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,3/15/2017,1:30:00 PM,3/15/2017,2:00:00 PM,FALSE,TRUE,3/15/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,3/29/2017,1:30:00 PM,3/29/2017,2:00:00 PM,FALSE,TRUE,3/29/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,4/12/2017,2:30:00 PM,4/12/2017,3:00:00 PM,FALSE,FALSE,4/12/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"I have a scheduling conflict.
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,4/26/2017,1:30:00 PM,4/26/2017,2:00:00 PM,FALSE,TRUE,4/26/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,5/24/2017,1:30:00 PM,5/24/2017,2:00:00 PM,FALSE,TRUE,5/24/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,6/7/2017,1:30:00 PM,6/7/2017,2:00:00 PM,FALSE,TRUE,6/7/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Standing Ann/Diana,6/21/2017,1:30:00 PM,6/21/2017,2:00:00 PM,FALSE,TRUE,6/21/2017,1:15:00 PM,Diana Antova,Ann Crawford,,,,,"
",Diana's office,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,3/6/2017,2:00:00 PM,3/6/2017,3:00:00 PM,FALSE,FALSE,3/6/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hey Ann,

I have another meeting at 3 this day, so I'm just moving this one up an hour for the week. 

Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com

",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,3/13/2017,3:00:00 PM,3/13/2017,4:00:00 PM,FALSE,TRUE,3/13/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,3/20/2017,3:00:00 PM,3/20/2017,4:00:00 PM,FALSE,TRUE,3/20/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,3/27/2017,4:00:00 PM,3/27/2017,5:00:00 PM,FALSE,FALSE,3/27/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Happy Monday Ann,

Ii got another meeting request so I'm pushing this one back an hour.  

Adam
Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com

",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,4/3/2017,3:00:00 PM,4/3/2017,4:00:00 PM,FALSE,TRUE,4/3/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,4/10/2017,3:00:00 PM,4/10/2017,4:00:00 PM,FALSE,TRUE,4/10/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,4/17/2017,3:00:00 PM,4/17/2017,4:00:00 PM,FALSE,TRUE,4/17/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,4/24/2017,3:00:00 PM,4/24/2017,4:00:00 PM,FALSE,TRUE,4/24/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,5/1/2017,3:00:00 PM,5/1/2017,4:00:00 PM,FALSE,TRUE,5/1/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
Weekly Check In - Adam/Ann,5/8/2017,3:00:00 PM,5/8/2017,4:00:00 PM,FALSE,TRUE,5/8/2017,2:50:00 PM,Adam Sottosanti,Ann Crawford,,,,,"Hi there, 

Adam Sottosanti is inviting you to a scheduled Zoom meeting. 

Topic: Weekly Check In - Adam/Ann
Time: this is a recurring meeting 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/433164305

Or iPhone one-tap (US Toll):  14086380968,433164305# or 16465588656,433164305#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 433 164 305
    International numbers available: https://ucsb.zoom.us/zoomconference?m=S5ihkqAkUOvZlM5xNTypAbMo2WyW2grJ


Or a H.323/SIP room system:
    H.323: 162.255.37.11 (US West) or 162.255.36.11 (US East) 
    Meeting ID: 433 164 305

    SIP: 433164305@zoomcrc.com <mailto:433164305@zoomcrc.com> 


",https://ucsb.zoom.us/j/433164305,,Normal,FALSE,Normal,2
